,id,retweet_count,favorite_count,followers_count
1395,697995514407682048,320,1448,9008769
1396,697990423684476929,1212,3119,9008770
1397,697943111201378304,638,2271,9008770
1398,697881462549430272,1095,2867,9008770
1399,697630435728322560,516,1651,9008770
1400,697616773278015490,947,2968,9008770
1401,697596423848730625,1179,2860,9008770
1402,697575480820686848,477,1942,9008770
1403,697516214579523584,1039,1929,9008770
1404,697482927769255936,632,2308,9008770
1405,697463031882764288,1319,3253,9008770
1406,697270446429966336,1769,4488,9008770
1407,697259378236399616,939,3130,9008770
1408,697255105972801536,1092,2913,9008770
1409,697242256848379904,637,2406,9008770
1410,696900204696625153,971,3007,9008770
1411,696894894812565505,642,2227,9008770
1412,696886256886657024,1685,4596,9008770
1413,696877980375769088,668,2327,9008770
1414,696754882863349760,336,1409,9008770
1415,696744641916489729,871,1955,9008770
1416,696713835009417216,611,2249,9008770
1417,696518437233913856,1628,3722,9008770
1418,696490539101908992,134,1158,9008770
1419,696488710901260288,961,2384,9008770
1420,696405997980676096,1086,3041,9008770
1421,696100768806522880,614,1836,9008770
1422,695816827381944320,1081,2858,9008770
1423,695794761660297217,729,3011,9008770
1424,695767669421768709,693,1761,9008770
1425,695629776980148225,1964,4328,9008770
1426,695446424020918272,1711,4200,9008770
1427,695409464418041856,3372,8242,9008770
1428,695314793360662529,1353,3438,9008770
1429,695095422348574720,576,2521,9008770
1430,695074328191332352,1031,2690,9008770
1431,695064344191721472,549,1521,9008770
1432,695051054296211456,747,2513,9008770
1433,694925794720792577,861,2564,9008770
1434,694905863685980160,878,2616,9008770
1435,694669722378485760,13491,34020,9008770
1436,694356675654983680,268,1427,9008770
1437,694352839993344000,571,1931,9008770
1438,694342028726001664,455,1508,9008770
1439,694329668942569472,472,1892,9008770
1440,694206574471057408,1918,3935,9008770
1441,694183373896572928,875,2796,9008770
1442,694001791655137281,965,3236,9008770
1443,693993230313091072,380,1794,9008770
1444,693942351086120961,343,1668,9008770
1445,693647888581312512,548,2554,9008770
1446,693644216740769793,118,1294,9008770
1447,693642232151285760,393,2427,9008770
1448,693629975228977152,749,2336,9008770
1449,693622659251335168,352,1462,9008770
1450,693590843962331137,1846,4806,9008770
1451,693582294167244802,235,1567,9008770
